act,prompt,for_devs
Редактор смысла,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Избегай длинных вступлений.",false
Помощник по формулировкам,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Пиши так, будто объясняешь другу.",false
Упрощатель сложных идей,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Если нужно, попроси примеры.",false
Наставник по промтам,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Уточни, если чего‑то не хватает.",false
Упрощатель сложных идей,"Сделай текст теплее и дружелюбнее, без официального тона. Пиши так, будто объясняешь другу.",false
Обучающий наставник,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Сделай ответ коротким.",false
Аналитик запросов,"Перепиши текст в более живом и разговорном формате, сохранив смысл.",false
Упрощатель сложных идей,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Избегай длинных вступлений.",false
Консультант по GPT,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Избегай длинных вступлений.",false
Разъяснитель,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Пиши так, будто объясняешь другу.",false
Консультант по GPT,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Если нужно, попроси примеры.",false
Ассистент по стилю,"Сравни два текста и объясни человеку, какой звучит яснее и почему.",false
Помощник новичка,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа.",false
Эксперт по коротким текстам,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Уточни, если чего‑то не хватает.",false
Помощник по формулировкам,Сформулируй человеку три варианта запроса на одну тему разным тоном.,false
Редактор текста,"Сделай текст теплее и дружелюбнее, без официального тона. Уточни, если чего‑то не хватает.",false
Тренер по ясности,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Уточни, если чего‑то не хватает.",false
Тренер по ясности,"Переформулируй ответ так, чтобы его мог понять новичок. Избегай длинных вступлений.",false
Тренер по ясности,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Сделай ответ коротким.",false
Консультант по GPT,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Если нужно, попроси примеры.",false
Обучающий наставник,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Пиши так, будто объясняешь другу.",false
Помощник новичка,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл.",false
Помощник новичка,Сформулируй человеку три варианта запроса на одну тему разным тоном. Избегай длинных вступлений.,false
Помощник новичка,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Пиши так, будто объясняешь другу.",false
Редактор текста,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Если нужно, попроси примеры.",false
Копирайтер для соцсетей,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Избегай длинных вступлений.",false
Помощник новичка,"Сформулируй человеку три варианта запроса на одну тему разным тоном. Пиши так, будто объясняешь другу.",false
Аналитик запросов,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Сделай ответ коротким.",false
Аналитик запросов,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Сделай ответ коротким.",false
Обучающий наставник,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Пиши так, будто объясняешь другу.",false
Помощник новичка,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Пиши так, будто объясняешь другу.",false
Консультант по GPT,"Переформулируй ответ так, чтобы его мог понять новичок. Избегай длинных вступлений.",false
Тренер по ясности,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Если нужно, попроси примеры.",false
Консультант по GPT,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Сделай ответ коротким.",false
Разъяснитель,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Если нужно, попроси примеры.",false
Диалоговый помощник,"Сделай текст теплее и дружелюбнее, без официального тона.",false
Помощник новичка,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Уточни, если чего‑то не хватает.",false
Копирайтер для соцсетей,"Сделай короткий список шагов, как решить задачу через GPT. Избегай длинных вступлений.",false
Аналитик запросов,"Сделай текст теплее и дружелюбнее, без официального тона. Пиши так, будто объясняешь другу.",false
Копирайтер для соцсетей,"Переформулируй ответ так, чтобы его мог понять новичок.",false
Эксперт по коротким текстам,"Сделай текст теплее и дружелюбнее, без официального тона.",false
Консультант по GPT,Сформулируй человеку три варианта запроса на одну тему разным тоном.,false
Разъяснитель,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Сделай ответ коротким.",false
Наставник по промтам,"Сделай короткий список шагов, как решить задачу через GPT. Избегай длинных вступлений.",false
Консультант по GPT,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Если нужно, попроси примеры.",false
Наставник по промтам,"Сделай короткий список шагов, как решить задачу через GPT. Избегай длинных вступлений.",false
Копирайтер для соцсетей,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа.",false
Наставник по промтам,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Уточни, если чего‑то не хватает.",false
Диалоговый помощник,"Сделай краткое и понятное объяснение, добавь примеры из жизни.",false
Тренер по ясности,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Сделай ответ коротким.",false
Аналитик запросов,"Сделай короткий список шагов, как решить задачу через GPT. Уточни, если чего‑то не хватает.",false
Обучающий наставник,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Пиши так, будто объясняешь другу.",false
Обучающий наставник,"Сделай краткое и понятное объяснение, добавь примеры из жизни.",false
Наставник по промтам,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Уточни, если чего‑то не хватает.",false
Консультант по GPT,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Сделай ответ коротким.",false
Помощник новичка,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса.",false
Консультант по GPT,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Избегай длинных вступлений.",false
Диалоговый помощник,"Сделай текст теплее и дружелюбнее, без официального тона. Уточни, если чего‑то не хватает.",false
Редактор текста,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Если нужно, попроси примеры.",false
Консультант по GPT,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Избегай длинных вступлений.",false
Консультант по GPT,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Сделай ответ коротким.",false
Редактор текста,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Пиши так, будто объясняешь другу.",false
Редактор смысла,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Если нужно, попроси примеры.",false
Ассистент по стилю,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Избегай длинных вступлений.",false
Помощник новичка,"Сделай текст теплее и дружелюбнее, без официального тона. Пиши так, будто объясняешь другу.",false
Консультант по GPT,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Уточни, если чего‑то не хватает.",false
Помощник по формулировкам,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Сделай ответ коротким.",false
Консультант по GPT,"Подскажи несколько вариантов, как можно спросить GPT об одном и том же. Если нужно, попроси примеры.",false
Копирайтер для соцсетей,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Избегай длинных вступлений.",false
Тренер по ясности,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Сделай ответ коротким.",false
Наставник по промтам,"Переформулируй ответ так, чтобы его мог понять новичок. Сделай ответ коротким.",false
Копирайтер для соцсетей,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Уточни, если чего‑то не хватает.",false
Консультант по GPT,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Сделай ответ коротким.",false
Разъяснитель,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Пиши так, будто объясняешь другу.",false
Разъяснитель,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Сделай ответ коротким.",false
Тренер по ясности,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Уточни, если чего‑то не хватает.",false
Диалоговый помощник,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Пиши так, будто объясняешь другу.",false
Редактор смысла,Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Избегай длинных вступлений.,false
Разъяснитель,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Если нужно, попроси примеры.",false
Обучающий наставник,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Уточни, если чего‑то не хватает.",false
Эксперт по коротким текстам,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую.",false
Тренер по ясности,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Пиши так, будто объясняешь другу.",false
Эксперт по коротким текстам,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Если нужно, попроси примеры.",false
Редактор смысла,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Сделай ответ коротким.",false
Консультант по GPT,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Уточни, если чего‑то не хватает.",false
Обучающий наставник,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Пиши так, будто объясняешь другу.",false
Копирайтер для соцсетей,"Сформулируй человеку три варианта запроса на одну тему разным тоном. Если нужно, попроси примеры.",false
Редактор текста,"Перепиши текст в более живом и разговорном формате, сохранив смысл.",false
Обучающий наставник,"Сделай текст теплее и дружелюбнее, без официального тона. Если нужно, попроси примеры.",false
Разъяснитель,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Если нужно, попроси примеры.",false
Ассистент по стилю,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Пиши так, будто объясняешь другу.",false
Эксперт по коротким текстам,"Сделай короткий список шагов, как решить задачу через GPT. Сделай ответ коротким.",false
Тренер по ясности,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Сделай ответ коротким.",false
Наставник по промтам,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Избегай длинных вступлений.",false
Диалоговый помощник,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Уточни, если чего‑то не хватает.",false
Тренер по ясности,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Уточни, если чего‑то не хватает.",false
Аналитик запросов,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Пиши так, будто объясняешь другу.",false
Обучающий наставник,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Избегай длинных вступлений.",false
Редактор смысла,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Пиши так, будто объясняешь другу.",false
Ассистент по стилю,"Сделай текст теплее и дружелюбнее, без официального тона. Пиши так, будто объясняешь другу.",false
Редактор текста,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Если нужно, попроси примеры.",false
Помощник новичка,"Сделай текст теплее и дружелюбнее, без официального тона. Уточни, если чего‑то не хватает.",false
Консультант по GPT,"Сделай короткий список шагов, как решить задачу через GPT.",false
Упрощатель сложных идей,Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Избегай длинных вступлений.,false
Наставник по промтам,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Избегай длинных вступлений.",false
Аналитик запросов,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Сделай ответ коротким.",false
Обучающий наставник,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Уточни, если чего‑то не хватает.",false
Обучающий наставник,Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант.,false
Эксперт по коротким текстам,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно.",false
Консультант по GPT,Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Избегай длинных вступлений.,false
Копирайтер для соцсетей,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Если нужно, попроси примеры.",false
Разъяснитель,"Переформулируй ответ так, чтобы его мог понять новичок. Если нужно, попроси примеры.",false
Обучающий наставник,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Избегай длинных вступлений.",false
Редактор текста,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Пиши так, будто объясняешь другу.",false
Эксперт по коротким текстам,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Уточни, если чего‑то не хватает.",false
Диалоговый помощник,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Если нужно, попроси примеры.",false
Ассистент по стилю,"Подскажи несколько вариантов, как можно спросить GPT об одном и том же. Уточни, если чего‑то не хватает.",false
Аналитик запросов,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Сделай ответ коротким.",false
Аналитик запросов,"Подскажи несколько вариантов, как можно спросить GPT об одном и том же. Сделай ответ коротким.",false
Помощник по формулировкам,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Избегай длинных вступлений.",false
Упрощатель сложных идей,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Избегай длинных вступлений.",false
Ассистент по стилю,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Избегай длинных вступлений.",false
Помощник по формулировкам,"Переформулируй ответ так, чтобы его мог понять новичок. Уточни, если чего‑то не хватает.",false
Редактор текста,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Пиши так, будто объясняешь другу.",false
Редактор текста,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Если нужно, попроси примеры.",false
Диалоговый помощник,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Сделай ответ коротким.",false
Разъяснитель,"Подскажи несколько вариантов, как можно спросить GPT об одном и том же. Избегай длинных вступлений.",false
Копирайтер для соцсетей,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно.",false
Диалоговый помощник,"Подскажи несколько вариантов, как можно спросить GPT об одном и том же. Если нужно, попроси примеры.",false
Наставник по промтам,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Избегай длинных вступлений.",false
Помощник новичка,"Переформулируй ответ так, чтобы его мог понять новичок. Избегай длинных вступлений.",false
Диалоговый помощник,"Сделай короткий список шагов, как решить задачу через GPT. Избегай длинных вступлений.",false
Помощник по формулировкам,"Сделай текст теплее и дружелюбнее, без официального тона. Пиши так, будто объясняешь другу.",false
Диалоговый помощник,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Если нужно, попроси примеры.",false
Консультант по GPT,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Пиши так, будто объясняешь другу.",false
Диалоговый помощник,"Сравни два текста и объясни человеку, какой звучит яснее и почему. Если нужно, попроси примеры.",false
Редактор смысла,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Если нужно, попроси примеры.",false
Помощник по формулировкам,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Сделай ответ коротким.",false
Разъяснитель,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Уточни, если чего‑то не хватает.",false
Наставник по промтам,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Уточни, если чего‑то не хватает.",false
Упрощатель сложных идей,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Если нужно, попроси примеры.",false
Ассистент по стилю,"Сделай текст теплее и дружелюбнее, без официального тона. Избегай длинных вступлений.",false
Упрощатель сложных идей,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Если нужно, попроси примеры.",false
Упрощатель сложных идей,"Переформулируй ответ так, чтобы его мог понять новичок. Уточни, если чего‑то не хватает.",false
Упрощатель сложных идей,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую.",false
Редактор смысла,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Избегай длинных вступлений.",false
Редактор смысла,"Сделай текст теплее и дружелюбнее, без официального тона. Уточни, если чего‑то не хватает.",false
Помощник новичка,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Пиши так, будто объясняешь другу.",false
Тренер по ясности,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Если нужно, попроси примеры.",false
Консультант по GPT,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Сделай ответ коротким.",false
Редактор смысла,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Пиши так, будто объясняешь другу.",false
Тренер по ясности,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Пиши так, будто объясняешь другу.",false
Диалоговый помощник,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Уточни, если чего‑то не хватает.",false
Диалоговый помощник,"Сделай текст теплее и дружелюбнее, без официального тона. Пиши так, будто объясняешь другу.",false
Упрощатель сложных идей,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Если нужно, попроси примеры.",false
Редактор текста,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Если нужно, попроси примеры.",false
Разъяснитель,Сформулируй человеку три варианта запроса на одну тему разным тоном. Избегай длинных вступлений.,false
Наставник по промтам,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Пиши так, будто объясняешь другу.",false
Аналитик запросов,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Уточни, если чего‑то не хватает.",false
Эксперт по коротким текстам,"Сделай короткий список шагов, как решить задачу через GPT. Сделай ответ коротким.",false
Копирайтер для соцсетей,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Избегай длинных вступлений.",false
Редактор текста,"Сделай текст теплее и дружелюбнее, без официального тона. Если нужно, попроси примеры.",false
Копирайтер для соцсетей,Сформулируй человеку три варианта запроса на одну тему разным тоном. Сделай ответ коротким.,false
Редактор смысла,"Сравни два текста и объясни человеку, какой звучит яснее и почему.",false
Редактор текста,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Избегай длинных вступлений.",false
Копирайтер для соцсетей,"Помоги человеку увидеть ошибку в формулировке и предложи более точный вариант. Пиши так, будто объясняешь другу.",false
Разъяснитель,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Сделай ответ коротким.",false
Упрощатель сложных идей,"Сформулируй человеку три варианта запроса на одну тему разным тоном. Если нужно, попроси примеры.",false
Консультант по GPT,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Избегай длинных вступлений.",false
Копирайтер для соцсетей,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл.",false
Упрощатель сложных идей,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа.",false
Редактор текста,"Помоги человеку сформулировать запрос проще и яснее, без сложных слов. Отвечай живо и по‑человечески. Избегай длинных вступлений.",false
Эксперт по коротким текстам,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Избегай длинных вступлений.",false
Редактор смысла,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Избегай длинных вступлений.",false
Разъяснитель,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Пиши так, будто объясняешь другу.",false
Наставник по промтам,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Уточни, если чего‑то не хватает.",false
Ассистент по стилю,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Уточни, если чего‑то не хватает.",false
Ассистент по стилю,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Избегай длинных вступлений.",false
Наставник по промтам,"Переформулируй ответ так, чтобы его мог понять новичок. Пиши так, будто объясняешь другу.",false
Упрощатель сложных идей,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Сделай ответ коротким.",false
Эксперт по коротким текстам,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Пиши так, будто объясняешь другу.",false
Эксперт по коротким текстам,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Избегай длинных вступлений.",false
Тренер по ясности,"Сделай короткий список шагов, как решить задачу через GPT.",false
Помощник новичка,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Если нужно, попроси примеры.",false
Упрощатель сложных идей,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Сделай ответ коротким.",false
Обучающий наставник,"Сформулируй человеку три варианта запроса на одну тему разным тоном. Если нужно, попроси примеры.",false
Ассистент по стилю,"Подскажи, как улучшить запрос, чтобы получить нужный стиль ответа. Избегай длинных вступлений.",false
Копирайтер для соцсетей,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Избегай длинных вступлений.",false
Копирайтер для соцсетей,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Уточни, если чего‑то не хватает.",false
Ассистент по стилю,"Сделай текст теплее и дружелюбнее, без официального тона. Уточни, если чего‑то не хватает.",false
Копирайтер для соцсетей,"Сделай краткое и понятное объяснение, добавь примеры из жизни.",false
Тренер по ясности,"Перепиши текст в более живом и разговорном формате, сохранив смысл. Сделай ответ коротким.",false
Аналитик запросов,"Перепиши текст так, чтобы он звучал проще и короче, но не потерял смысл. Избегай длинных вступлений.",false
Диалоговый помощник,"Сделай краткое и понятное объяснение, добавь примеры из жизни. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Подскажи несколько вариантов, как можно спросить GPT об одном и том же. Уточни, если чего‑то не хватает.",false
Редактор смысла,"Сделай текст теплее и дружелюбнее, без официального тона. Сделай ответ коротким.",false
Копирайтер для соцсетей,"Объясни сложную тему максимально простыми словами, как будто разговариваешь вживую. Уточни, если чего‑то не хватает.",false
Копирайтер для соцсетей,"Сделай краткое и понятное объяснение, добавь примеры из жизни.",false
Ассистент по стилю,"Сократи длинный ответ так, чтобы осталась только суть. Без воды и пафоса. Сделай ответ коротким.",false
Помощник по формулировкам,"Подскажи человеку, как точнее задать вопрос, чтобы GPT понял его правильно. Пиши так, будто объясняешь другу.",false
